feature,mi_score,importance,rfe_rank,mi_rank,importance_rank,avg_rank
categorical__medical_specialty_OutreachServices,0.0,0.0032146100185158977,16,156.0,183.0,118.33333333333333
categorical__medical_specialty_Surgery-Colon&Rectal,0.0,0.0033414621529417347,19,156.0,181.0,118.66666666666667
categorical__medical_specialty_Psychiatry-Addictive,0.0,0.001201316694070909,9,156.0,192.0,119.0
categorical__medical_specialty_Neurophysiology,0.0006438630698717418,9.33282399661158e-05,15,135.0,208.0,119.33333333333333
categorical__miglitol_Steady,0.0,0.0025232633531579174,17,156.0,187.0,120.0
categorical__medical_specialty_Resident,0.0007480133231676511,0.0,22,129.0,211.0,120.66666666666667
categorical__glipizide-metformin_Steady,0.0,0.0010666403166061133,11,156.0,195.0,120.66666666666667
categorical__medical_specialty_Surgery-PlasticwithinHeadandNeck,0.0,0.001913225647127555,20,156.0,189.0,121.66666666666667
categorical__medical_specialty_Pediatrics-AllergyandImmunology,0.0,0.0011981645148767745,18,156.0,193.0,122.33333333333333
categorical__troglitazone_Steady,0.0005123738099996888,0.0,17,140.0,211.0,122.66666666666667
categorical__medical_specialty_Pediatrics-EmergencyMedicine,0.0003601028594104605,0.0,16,143.0,211.0,123.33333333333333
categorical__medical_specialty_Rheumatology,0.00022800096528241554,0.0,18,147.0,211.0,125.33333333333333
categorical__medical_specialty_Proctology,0.0,0.0,9,156.0,211.0,125.33333333333333
categorical__repaglinide_Down,0.0,0.0008759319852115183,22,156.0,198.0,125.33333333333333
categorical__metformin-pioglitazone_Steady,0.0,4.487622208640529e-05,11,156.0,210.0,125.66666666666667
categorical__chlorpropamide_Steady,0.0,0.0009351711367981265,24,156.0,197.0,125.66666666666667
categorical__medical_specialty_Surgery-Maxillofacial,0.0,0.00014721074524801417,19,156.0,204.0,126.33333333333333
categorical__tolazamide_Up,0.0,0.00010049113792308118,17,156.0,206.0,126.33333333333333
categorical__medical_specialty_Pediatrics-Pulmonology,4.9749680511190775e-05,0.0,16,154.0,211.0,127.0
categorical__medical_specialty_Speech,0.0,9.637628456649806e-05,18,156.0,207.0,127.0
categorical__medical_specialty_Ophthalmology,0.0,0.0,15,156.0,211.0,127.33333333333333
categorical__medical_specialty_Pediatrics-Hematology-Oncology,0.0,0.0,16,156.0,211.0,127.66666666666667
categorical__acarbose_Up,0.0,0.0,18,156.0,211.0,128.33333333333334
categorical__acetohexamide_Steady,0.0,0.0,23,156.0,211.0,130.0
